Muestra,Gen,Count,AF_promedio,Pathogenic_count
L2976,KMT2A(MLL),4,0.092775,1
L2976,NF1,2,0.2959,1
L2976,NRIP1-MIR99AHG,7,,0
L2976,PTPN11,1,0.5189,1
L2976,RUNX1,1,1.0,0
L2976,SETBP1,5,0.13652,1
L2976,SRSF2,1,0.4206,1
L2976,STAG2,1,0.0714,0
L2976,TET2,2,0.0534,0
L2976,ZRSR2,2,0.10750000000000001,0
L3018,ASXL1,8,0.0749,1
L3018,BCOR,6,0.08961666666666668,1
L3018,BRAF,3,0.0803,1
L3018,CSF3R,1,0.2653,0
L3018,CUX1,4,0.077275,0
L3018,DDX41,2,0.08635,0
L3018,DNMT3A,6,0.09000000000000001,0
L3018,EZH2,3,0.10426666666666666,0
L3018,FLT3,1,0.0588,0
L3018,GATA2,1,0.075,0
L3018,JAK2,1,0.5079,0
L3018,KIT,3,0.12803333333333333,1
L3018,KMT2A(MLL),31,0.09219677419354838,2
L3018,KRAS,2,0.054849999999999996,0
L3018,MPL,1,0.3333,0
L3018,MYC,2,0.05755,0
L3018,NF1,15,0.11602,4
L3018,NRAS,1,0.0667,1
L3018,PHF6,2,0.14584999999999998,0
L3018,PTPN11,3,0.0649,0
L3018,RUNX1-RUNX1T1,1,,1
L3018,SETBP1,1,0.5,0
L3018,SF1,1,0.0504,0
L3018,SMC1A,4,0.05995,0
L3018,STAG2,1,0.0506,0
L3018,TET2,3,0.05726666666666667,0
L3018,ZRSR2,1,0.087,0
L3070,ASXL1,5,0.06384,0
L3070,BAALC,2,0.13025,0
L3070,BCOR,5,0.05996,0
L3070,BCR-ABL1,1,,1
L3070,BRAF,2,0.075,0
L3070,CBL,2,0.0739,0
L3070,CEBPA,1,0.0588,0
L3070,CUX1,4,0.082,0
L3070,DNMT3A,3,0.06516666666666666,0
L3070,EZH2,9,0.07529999999999999,0
L3070,JAK2,3,0.056266666666666666,0
L3070,KIT,2,0.13395,0
L3070,KMT2A(MLL),6,0.20108333333333336,1
L3070,KRAS,1,0.0769,0
L3070,MPL,2,0.1059,0
L3070,NF1,13,0.11965384615384617,3
L3070,PHF6,1,0.08,0
L3070,SETBP1,1,0.3333,0
L3070,SMC1A,7,0.060957142857142856,0
L3070,STAG2,2,0.0824,0
L3070,WT1,1,0.4,0
L3106,ASXL1,1,0.0741,1
L3106,BCOR,4,0.102225,0
L3106,BRAF,2,0.09820000000000001,1
L3106,CBL,1,0.0784,1
L3106,CUX1,1,0.6923,0
L3106,EZH2,6,0.08900000000000001,2
L3106,FLT3,2,0.0932,0
L3106,GATA2,1,1.0,1
L3106,IDH1,4,0.09345,0
L3106,JAK2,3,0.05846666666666667,0
L3106,KIT,1,0.0656,0
L3106,KMT2A(MLL),9,0.09198888888888888,0
L3106,MPL,1,0.2222,0
L3106,NF1,12,0.06345833333333332,1
L3106,PHF6,2,0.1699,0
L3106,PML-RARA,1,,1
L3106,SF3B1,2,0.1185,0
L3106,SMC1A,4,0.0673,0
L3106,WT1,1,0.087,1
L3106,ZRSR2,4,0.1429,0
L3113B,ASXL1,1,0.0606,0
L3113B,AXL1,2,0.325,0
L3113B,BCOR,8,0.10413750000000001,0
L3113B,BRAF,1,0.0732,0
L3113B,CBL,1,0.0714,1
L3113B,CEBPA,1,0.0769,1
L3113B,CUX1,4,0.119175,0
L3113B,DDX41,1,0.0588,0
L3113B,EZH2,5,0.07158,0
L3113B,FLT3,2,0.11485000000000001,0
L3113B,JAK2,1,0.0513,0
L3113B,KIT,2,0.136,0
L3113B,KMT2A(MLL),1,0.0991,0
L3113B,KRAS,1,0.0682,0
L3113B,MPL,1,0.3333,0
L3113B,NF1,12,0.08081666666666666,4
L3113B,PHF6,3,0.09856666666666668,0
L3113B,RUNX1,1,0.7247,0
L3113B,SETBP1,6,0.06515,0
L3113B,SF1,1,0.1546,0
L3113B,SF3B1,2,0.14615,1
L3113B,SMC1A,8,0.067925,0
L3113B,STAG2,1,0.0637,0
L3113B,TET2,10,0.08788,0
L3160,ASXL1,5,0.07124,0
L3160,AXL1,4,0.10667499999999999,0
L3160,BCOR,2,0.08,0
L3160,BRAF,1,0.0606,0
L3160,CBL,1,0.0714,0
L3160,CUX1,2,0.2167,0
L3160,EZH2,1,0.0597,0
L3160,FLT3,2,0.22920000000000001,0
L3160,JAK2,6,0.09538333333333333,0
L3160,KIT,2,0.0639,0
L3160,KMT2A(MLL),8,0.089325,2
L3160,MPL,3,0.06843333333333333,0
L3160,NF1,11,0.1322909090909091,3
L3160,NRAS,2,0.058550000000000005,0
L3160,PHF6,2,0.07275000000000001,0
L3160,PML-RARA,1,,1
L3160,PTPN11,2,0.05635,0
L3160,RAF1-TMEM40,1,,0
L3160,RARA-PML,3,,0
L3160,SF3B1,1,0.1379,0
L3160,SMC1A,3,0.1062,0
L3160,STAG2,1,0.1182,0
L3160,TET2,9,0.07303333333333334,0
L3170,ASXL1,2,0.054099999999999995,0
L3170,BCOR,5,0.07676000000000001,0
L3170,BRAF,2,0.0694,0
L3170,CBL,1,0.0536,0
L3170,CEBPA,1,0.0645,0
L3170,CUX1,1,0.0667,0
L3170,DDX41,4,0.0542,0
L3170,DNMT3A,3,0.0718,0
L3170,EZH2,2,0.087,0
L3170,IDH1,1,0.0513,0
L3170,IDH2,1,0.3269,1
L3170,JAK2,2,0.06155000000000001,0
L3170,KIT,4,0.0861,2
L3170,KMT2A(MLL),9,0.07454444444444445,1
L3170,KRAS,1,0.1379,0
L3170,MPL,1,0.25,0
L3170,NF1,8,0.078625,2
L3170,NPM1,1,0.2766,1
L3170,NRAS,1,0.0667,0
L3170,PHF6,3,0.10433333333333333,0
L3170,PTPN11,1,0.0769,0
L3170,SETBP1,2,0.25395,0
L3170,SMC1A,6,0.0678,0
L3170,STAG2,1,0.125,0
L3170,TET2,3,0.3478333333333334,2
L3170,U2AF1,1,0.0735,0
L3170,WT1,2,0.1,0
L3170,ZRSR2,2,0.0527,0
L3183,ASXL1,1,0.0522,0
L3183,AXL1,1,0.6667,0
L3183,BCOR,2,0.06085,0
L3183,BRAF,1,0.0978,0
L3183,CEBPA,4,0.087325,1
L3183,FLT3,5,0.5028,4
L3183,GATA2,1,0.1754,1
L3183,JAK2,1,0.4792,1
L3183,KMT2A(MLL),4,0.10795,1
L3183,KRAS,1,0.0755,0
L3183,MPL,2,0.2625,1
L3183,NF1,3,0.08763333333333334,2
L3183,NSD1-NUP98,1,,1
L3183,NUP98-NSD1,1,,1
L3183,SETBP1,2,0.39285000000000003,0
L3183,SF3B1,1,0.1333,0
L3183,WT1,3,0.13043333333333332,0
L3183,ZRSR2,1,0.0556,0
